record_id,product_id,sku,cpu,ram_gb,storage_gb,gpu,screen_size_inch,weight_kg
thegioididong_342758,342758,,Intel Core 5 Raptor Lake - 210H,16.0,512.0,Card tích hợp - Intel UHD Graphics,16.0,1.7
thegioididong_340562,340562,,Intel Core i7 Raptor Lake - 1355U,16.0,512.0,Card tích hợp - Intel UHD Graphics,15.6,1.65
thegioididong_341623,341623,,AMD Ryzen 7 - 7445HS,16.0,512.0,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",15.6,2.29
thegioididong_341602,341602,,Intel Core Ultra 5 Meteor Lake - 125H,16.0,512.0,Card tích hợp - Intel Arc Graphics,16.0,1.6
thegioididong_358797,358797,,Intel Core Ultra 7 Meteor Lake - 155H,16.0,512.0,Card tích hợp - Intel Arc Graphics,15.6,1.65
thegioididong_325691,325691,,Intel Core i7 Raptor Lake - 1355U,16.0,512.0,Card tích hợp - Intel Iris Xe Graphics,15.6,1.59
thegioididong_363690,363690,,Intel Core i5 Raptor Lake - 13420H,16.0,512.0,"Card rời - NVIDIA GeForce RTX 3050, 4 GB",15.6,1.98
thegioididong_362026,362026,,Intel Core i7 Raptor Lake - 1355U,16.0,512.0,Card tích hợp - Intel UHD Graphics,15.6,1.65
thegioididong_367684,367684,,Intel Core Ultra 5 Panther Lake - 322,16.0,512.0,Card tích hợp - Intel Graphics,14.0,1.43
thegioididong_369911,369911,,AMD Ryzen 7 - 7730U,16.0,1024.0,Card tích hợp - AMD Radeon Graphics,15.6,1.635
thegioididong_363257,363257,,Intel Core Ultra 5 Arrow Lake - 225H,16.0,512.0,Card tích hợp - Intel Graphics,16.0,1.88
thegioididong_327707,327707,,Intel Core i7 Raptor Lake - 13620H,16.0,512.0,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,1.98
thegioididong_339954,339954,,Intel Core 5 Raptor Lake - 120U,16.0,512.0,Card tích hợp - Intel Graphics,14.0,1.5
thegioididong_341601,341601,,AMD Ryzen 7 - 7735HS,16.0,512.0,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",15.6,2.1
thegioididong_333421,333421,,Intel Core i7 Raptor Lake - 1355U,16.0,512.0,Card tích hợp - Intel Iris Xe Graphics eligible,16.0,1.7
thegioididong_334446,334446,,Intel Core i7 Raptor Lake - 13620H,24.0,512.0,Card tích hợp - Intel UHD Graphics,15.3,1.63
thegioididong_366992,366992,,AMD Ryzen 7 - 5825U,8.0,512.0,Card tích hợp - AMD Radeon Graphics,15.6,1.45
thegioididong_360692,360692,,Intel Core i7 Raptor Lake - 1355U,16.0,512.0,Card tích hợp - Intel UHD Graphics,15.6,1.65
thegioididong_367346,367346,,Intel Core 3 Raptor Lake - 100U,8.0,512.0,Card tích hợp - Intel Graphics,14.0,1.69
thegioididong_363260,363260,,AMD Ryzen 7 - 7735HS,16.0,512.0,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,2.1
thegioididong_341618,341618,,Intel Core 5 Raptor Lake - 120U,16.0,512.0,Card tích hợp - Intel Iris Xe Graphics,15.6,1.59
thegioididong_368207,368207,,Intel Core 5 Wildcat Lake - 320,16.0,512.0,Card tích hợp - Integrated Graphics,14.0,1.39
thegioididong_351613,351613,,Intel Core i7 Raptor Lake - 1355U,16.0,1024.0,Card tích hợp - Intel UHD Graphics,15.6,1.9
thegioididong_368557,368557,,Intel Core 5 Raptor Lake - 120U,16.0,512.0,Card tích hợp - Intel Graphics,14.0,1.69
thegioididong_369478,369478,,Intel Core™ 3 - 304,8.0,512.0,Card tích hợp - Intel Graphics,15.3,1.59
thegioididong_367576,367576,,Intel Core i5 Raptor Lake - 13420H,16.0,512.0,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,2.29
thegioididong_339211,339211,,Intel Core i7 Raptor Lake - 13620H,16.0,512.0,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",16.0,2.204
thegioididong_362667,362667,,Intel Core i7 Raptor Lake - 1355U,16.0,1024.0,Card tích hợp - Intel UHD Graphics,15.6,1.9
thegioididong_358077,358077,,Intel Core 7 Raptor Lake - 150U,24.0,512.0,Card tích hợp - Intel Graphics,14.0,1.62
thegioididong_368558,368558,,Intel Core 3 Raptor Lake - 100U,8.0,512.0,Card tích hợp - Intel UHD Graphics,15.6,1.9
thegioididong_363261,363261,,Intel Core 5 Raptor Lake - 120U,16.0,512.0,Card tích hợp - Intel UHD Graphics,14.0,1.4
thegioididong_341626,341626,,Intel Core i5 Raptor Lake - 13420H,16.0,512.0,"Card rời - NVIDIA GeForce RTX 5050, 8 GB",15.6,2.1
thegioididong_369754,369754,,Intel Core 7 Raptor Lake - 240H,16.0,512.0,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,2.1
thegioididong_366749,366749,,Intel Core i7 Raptor Lake - 13645HX,16.0,1024.0,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,2.38
thegioididong_365608,365608,,Intel Core 5 Raptor Lake - 120U,16.0,512.0,Card tích hợp - Intel Graphics,14.0,1.406
thegioididong_339679,339679,,Intel Core i5 Raptor Lake - 1335U,16.0,512.0,Card tích hợp - Intel Iris Xe Graphics,14.0,1.5
thegioididong_341270,341270,,Intel Core 5 Raptor Lake - 120U,16.0,512.0,Card tích hợp - Intel Iris Xe Graphics,15.6,1.59
thegioididong_337043,337043,,Intel Core Ultra 5 Meteor Lake - 125U,16.0,1024.0,Card tích hợp - Intel Graphics,16.0,1.77
thegioididong_364401,364401,,Intel Core Ultra 5 Arrow Lake - 255H,16.0,512.0,Card tích hợp - Intel Arc Graphics,14.0,1.2
thegioididong_341610,341610,,Intel Core i7 Raptor Lake - 14650HX,16.0,512.0,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",15.6,2.4
thegioididong_336031,336031,,Intel Core Ultra 9 Arrow Lake - 285H,32.0,1024.0,Card tích hợp - Intel Arc Graphics,14.0,1.28
thegioididong_337843,337843,,Intel Core i5 Raptor Lake - 13420H,16.0,512.0,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",16.0,2.2
thegioididong_358074,358074,,Intel Core Ultra 7 Arrow Lake - 255U,32.0,512.0,Card tích hợp - Intel Graphics,16.0,1.77
thegioididong_345510,345510,,Intel Core i5 Raptor Lake - 13420H,16.0,512.0,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,2.29
thegioididong_358498,358498,,Intel Core i5 Raptor Lake - 1334U,16.0,512.0,Card tích hợp - Intel UHD Graphics,15.6,1.65
thegioididong_362666,362666,,Intel Core i5 Raptor Lake - 1334U,16.0,512.0,Card tích hợp - Intel UHD Graphics,15.6,1.9
thegioididong_365998,365998,,Intel Core i5 Raptor Lake - 1334U,16.0,512.0,Card tích hợp - Intel UHD Graphics,15.6,1.65
thegioididong_318354,318354,,Intel Core i5 Raptor Lake - 13420H,8.0,512.0,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,2.1
thegioididong_340006,340006,,AMD Ryzen AI 7 - 260,16.0,512.0,Card tích hợp - AMD Radeon Graphics,15.6,1.9
thegioididong_357992,357992,,AMD Ryzen 7 - 7730U,16.0,1024.0,Card tích hợp - AMD Radeon Graphics,15.6,1.9
thegioididong_364860,364860,,Intel Core i7 Raptor Lake - 1355U,16.0,512.0,Card tích hợp - Intel UHD Graphics,15.6,1.65
thegioididong_363882,363882,,AMD Ryzen AI 7 - 445,32.0,512.0,Card tích hợp - AMD Radeon 840M Graphics,14.0,1.37
thegioididong_363262,363262,,Intel Core 7 Raptor Lake - 150U,16.0,512.0,Card tích hợp - Intel UHD Graphics,15.6,1.53
thegioididong_358796,358796,,Intel Core Ultra 7 Meteor Lake - 155H,16.0,512.0,Card tích hợp - Intel Arc Graphics,14.0,1.4
thegioididong_366909,366909,,Intel Core i5 Raptor Lake - 13420H,16.0,512.0,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,1.98
thegioididong_363259,363259,,Intel Core i7 Raptor Lake - 13620H,16.0,512.0,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",16.0,1.95
thegioididong_334796,334796,,Intel Core Ultra 5 Arrow Lake - 225H,16.0,512.0,Card tích hợp - Intel Arc Graphics,14.0,1.28
thegioididong_364967,364967,,Intel Core 7 Raptor Lake - 150U,16.0,512.0,"Card rời - NVIDIA Geforce MX570A, 2 GB",14.0,1.643
thegioididong_365607,365607,,Intel Core 5 Raptor Lake - 120U,8.0,512.0,Card tích hợp - Intel Graphics,14.0,1.406
thegioididong_369481,369481,,Intel Core 3 Raptor Lake - 100U,8.0,512.0,Card tích hợp - Intel Graphics,15.6,1.637
thegioididong_360419,360419,,Intel Core 5 Raptor Lake - 120U,16.0,512.0,Card tích hợp - Intel Graphics,15.6,1.7
thegioididong_362922,362922,,Intel Core i7 Raptor Lake - 13620H,16.0,1024.0,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",15.6,2.1
thegioididong_365535,365535,,Intel Core Ultra 5 Meteor Lake - 135H,16.0,512.0,Card tích hợp - Intel Arc Graphics,14.0,1.34
thegioididong_364405,364405,,Intel Core Ultra 9 Arrow Lake - 285H,32.0,1024.0,Card tích hợp - Intel Arc Graphics,14.0,1.2
thegioididong_342754,342754,,Intel Core i5 Raptor Lake - 1334U,16.0,512.0,Card tích hợp - Intel UHD Graphics,15.6,1.9
thegioididong_366702,366702,,AMD Ryzen 5 - 220,16.0,512.0,Card tích hợp - AMD Radeon Graphics,16.0,1.785
thegioididong_358120,358120,,AMD Ryzen AI 5 - 340,16.0,512.0,Card tích hợp - AMD Radeon 840M Graphics,16.0,1.79
thegioididong_358088,358088,,Apple M5,16.0,1024.0,Card tích hợp - 10 nhân GPU,14.2,1.55
thegioididong_340558,340558,,Intel Core i5 Raptor Lake - 1334U,16.0,512.0,Card tích hợp - Intel Iris Xe Graphics,15.6,1.66
thegioididong_360296,360296,,AMD Ryzen AI 7 - 260,16.0,1024.0,"Card rời - NVIDIA GeForce RTX 5050, 8 GB",16.0,2.1
thegioididong_359927,359927,,Intel Core i7 Raptor Lake - 13620H,16.0,512.0,"Card rời - NVIDIA GeForce RTX 5050, 8 GB",16.0,2.23
thegioididong_358075,358075,,AMD Ryzen AI 5 - 340,16.0,512.0,Card tích hợp - AMD Radeon 840M,14.0,1.39
thegioididong_342513,342513,,Intel Core 7 Raptor Lake - 240H,32.0,1024.0,Card tích hợp - Intel Graphics,14.0,1.36
thegioididong_358499,358499,,Intel Core i7 Raptor Lake - 1355U,16.0,512.0,Card tích hợp - Intel UHD Graphics,15.6,1.65
thegioididong_338316,338316,,Intel Core i5 Raptor Lake - 1334U,16.0,512.0,Card tích hợp - Intel Iris Xe Graphics,15.6,1.66
thegioididong_360693,360693,,Intel Core 7 Raptor Lake - 240H,16.0,1024.0,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",16.0,2.49
thegioididong_360421,360421,,Intel Core 5 Raptor Lake - 210H,16.0,512.0,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",16.0,1.95
thegioididong_344606,344606,,Intel Core i7 Raptor Lake - 13650HX,16.0,512.0,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,2.38
thegioididong_341613,341613,,Intel Core i7 Raptor Lake - 14650HX,32.0,512.0,"Card rời - NVIDIA GeForce RTX 5050, 8 GB",15.6,2.4
thegioididong_341609,341609,,Intel Core i7 Raptor Lake - 14650HX,32.0,512.0,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",15.6,2.4
thegioididong_363901,363901,,Intel Core i5 Raptor Lake - 13420H,16.0,512.0,Card tích hợp - Intel UHD Graphics,16.0,1.7
thegioididong_339681,339681,,Intel Core i5 Raptor Lake - 1334U,16.0,512.0,Card tích hợp - Intel Iris Xe Graphics,15.6,1.65
thegioididong_358079,358079,,AMD Ryzen 5 - 7430U,16.0,512.0,Card tích hợp - AMD Radeon Graphics,15.6,1.65
thegioididong_330579,330579,,Intel Core Ultra 7 Lunar Lake - 258V,32.0,1024.0,Card tích hợp - Intel Arc Graphics,14.0,1.2
thegioididong_363897,363897,,Intel Core Ultra 5 Meteor Lake - 135H,16.0,512.0,Card tích hợp - Intel Graphics,14.0,1.36
thegioididong_361726,361726,,Intel Core 5 Raptor Lake - 210H,16.0,512.0,Card tích hợp - Intel UHD XE,14.0,1.41
thegioididong_357991,357991,,Intel Core i7 Raptor Lake - 1355U,16.0,1024.0,Card tích hợp - Intel UHD Graphics,15.6,1.65
thegioididong_358076,358076,,Intel Core Ultra 7 Meteor Lake - 258V,32.0,512.0,Card tích hợp - Intel Arc 140V,14.0,1.38
thegioididong_360694,360694,,Intel Core 7 Raptor Lake - 150U,16.0,1024.0,Card tích hợp - Intel Graphics,16.0,2.0
thegioididong_341752,341752,,Intel Core i7 Raptor Lake - 13620H,16.0,512.0,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",16.0,2.233
thegioididong_361536,361536,,Intel Core 7 Raptor Lake - 150U,16.0,512.0,Card tích hợp - Intel Graphics,14.0,1.83
thegioididong_359482,359482,,Intel Core i5 Raptor Lake - 13420H,16.0,512.0,Card tích hợp - Intel UHD Graphics,14.0,1.37
thegioididong_339201,339201,,Intel Core i7 Raptor Lake - 13620H,16.0,512.0,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",16.0,1.95
thegioididong_338321,338321,,Intel Core Ultra 7 Arrow Lake - 255H,16.0,512.0,Card tích hợp - Intel UHD Graphics,14.0,1.4
