record_id,product_id,sku,name,brand,category,price_vnd,old_price_vnd,discount_amount_vnd,discount_percent,rating,review_count,url,source,crawl_date
phongvu_1404339.0,1729,1404339.0,Màn hình Acer K202HQL UM.IW3SS.009 19.5 inch (HD+/ TN/ 60Hz/ 5 ms),Acer,monitor,2070000.0,2490000.0,420000.0,17.0,,,,phongvu,2026-09-21
phongvu_1502539.0,7442,1502539.0,Màn hình Dell E2016HV 19.5 inch (HD+/ TN/ 60Hz/ 5 ms),Dell,monitor,2650000.0,2990000.0,340000.0,11.0,,,,phongvu,2026-09-21
phongvu_1503218.0,7442,1503218.0,Màn hình Dell E1916HV 18.5 inch (HD/ TN/ 60Hz/ 5 ms),Dell,monitor,2870000.0,3290000.0,420000.0,13.0,,,,phongvu,2026-09-21
phongvu_1600185.0,7442,1600185.0,Màn hình Dell E2216HV 21.5 inch (Full HD/ TN/ 60Hz/ 5 ms),Dell,monitor,2990000.0,2990000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_1601383.0,7405,1601383.0,Màn hình Samsung LS24F350FHEXXV 23.5 inch (Full HD/ PLS/ 60Hz/ 4 ms),Samsung,monitor,5490000.0,5490000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_1602072.0,1881,1602072.0,Màn hình Samsung LC27F390FHEXXV 27 inch (Full HD/ VA/ 60Hz/ 4 ms),Samsung,monitor,2390000.0,2690000.0,300000.0,11.0,,,,phongvu,2026-09-21
phongvu_1810783.0,34842,1810783.0,Màn hình LG 20MK400H-B 19.5 inch (HD/ TN/ 60Hz/ 5 ms),LG,monitor,2790000.0,3250000.0,460000.0,14.0,,,,phongvu,2026-09-21
phongvu_18120287.0,38053,18120287.0,Màn hình Philips 243V7QDSB/74 23.8 inch (Full HD/ IPS/ 75Hz/ 5 ms),Philips,monitor,2290000.0,2590000.0,300000.0,12.0,,,,phongvu,2026-09-21
phongvu_19040030.0,39568,19040030.0,Màn hình Samsung LC27R500FHEXXV 27 inch (Full HD/ VA/ 60Hz/ 4 ms),Samsung,monitor,2890000.0,3139000.0,249000.0,8.0,,,,phongvu,2026-09-21
phongvu_19060085.0,644035,19060085.0,Màn hình HP Elite Z27n G2 1JS10A4 27 inch (2K/ IPS/ 60Hz/ 5 ms),HP,monitor,12188000.0,12188000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_191007010.0,55177,191007010.0,Màn hình Dell U3219Q 31.5 inch (4K/ IPS/ 60Hz/ 5 ms),Dell,monitor,21700000.0,21700000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_200200451.0,59669,200200451.0,Màn hình Asus TUF VG279QM 27 inch (Full HD/ IPS/ 280Hz/ 1 ms),Asus,monitor,9590000.0,12990000.0,3400000.0,26.0,,,,phongvu,2026-09-21
phongvu_200200554.0,59779,200200554.0,Màn hình Aoc 24V2Q 23.8 inch (Full HD/ IPS/ 75Hz/ 5 ms),Aoc,monitor,2990000.0,3200000.0,210000.0,7.0,,,,phongvu,2026-09-21
phongvu_200201227.0,60542,200201227.0,Màn hình LG 22MN430M-B 21.5 inch (Full HD/ IPS/ 75Hz/ 5 ms),LG,monitor,2350000.0,3050000.0,700000.0,23.0,,,,phongvu,2026-09-21
phongvu_200400872.0,64915,200400872.0,Màn hình LG 29WN600-W 29 inch (UWHD/ IPS/ 75Hz/ 5 ms),LG,monitor,6590000.0,6590000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_200500537.0,591659,200500537.0,Màn hình Dell E2020H 19.5 inch (HD+/ TN/ 60Hz/ 5 ms),Dell,monitor,2050000.0,2190000.0,140000.0,6.0,,,,phongvu,2026-09-21
phongvu_200600633.0,39568,200600633.0,Màn hình Samsung LC32R500FHEXXV 31.5 inch (Full HD/ VA/ 75Hz/ 4 ms),Samsung,monitor,4190000.0,4989000.0,799000.0,16.0,,,,phongvu,2026-09-21
phongvu_200600782.0,644189,200600782.0,Màn hình Gigabyte G27QC-EK 27 inch (2K/ VA/ 165Hz/ 1 ms),Gigabyte,monitor,8690000.0,8690000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_200601200.0,622110,200601200.0,Màn hình Asus ProArt PA248QV 24 inch (WUXGA/ IPS/ 75Hz/ 5 ms),Asus,monitor,4950000.0,4990000.0,40000.0,1.0,,,,phongvu,2026-09-21
phongvu_200601201.0,622111,200601201.0,Màn hình Asus ProArt PA278QV 27 inch (2K/ IPS/ 75Hz/ 5 ms),Asus,monitor,7890000.0,8890000.0,1000000.0,11.0,,,,phongvu,2026-09-21
phongvu_200700260.0,69289,200700260.0,Màn hình LG 27QN600-B 27 inch (2K/ IPS/ 75Hz/ 5 ms),LG,monitor,4536000.0,6590000.0,2054000.0,31.0,,,,phongvu,2026-09-21
phongvu_200700263.0,643807,200700263.0,Màn hình Dell E2220H 21.5 inch (Full HD/ TN/ 60Hz/ 5 ms),Dell,monitor,3990000.0,3990000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_200900219.0,77255,200900219.0,Màn hình Samsung LF27T450FQEXXV 27 inch (Full HD/ IPS/ 75Hz/ 5 ms),Samsung,monitor,3089000.0,3289000.0,200000.0,6.0,,,,phongvu,2026-09-21
phongvu_201200061.0,128351,201200061.0,Màn hình Dell S2721H 27 inch (Full HD/ IPS/ 75Hz/ 8 ms),Dell,monitor,4590000.0,4590000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_201200062.0,139631,201200062.0,Màn hình LG 27GN600-B 27 inch (Full HD/ IPS/ 144Hz/ 1 ms),LG,monitor,6290000.0,6290000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_201201627.0,137427,201201627.0,Màn hình Gigabyte G34WQC A-EK 34 inch (UltraWide/ VA/ 144Hz/ 1 ms),Gigabyte,monitor,8990000.0,11500000.0,2510000.0,22.0,,,,phongvu,2026-09-21
phongvu_210200899.0,644009,210200899.0,Màn hình HP P21v G4 9TY72AA 20.7 inch (Full HD/ TN/ 60Hz/ 5 ms),HP,monitor,3290000.0,3390000.0,100000.0,3.0,,,,phongvu,2026-09-21
phongvu_210301233.0,178038,210301233.0,Màn hình Asus ProArt Display PA279CV 27 inch (4K/ IPS/ 60Hz/ 5 ms),Asus,monitor,11290000.0,12990000.0,1700000.0,13.0,,,,phongvu,2026-09-21
phongvu_210400403.0,189747,210400403.0,Màn hình LG 24QP500-B 23.8 inch (2K/ IPS/ 75Hz/ 5 ms),LG,monitor,4100000.0,5390000.0,1290000.0,24.0,,,,phongvu,2026-09-21
phongvu_210404451.0,205393,210404451.0,"Màn hình LCD Asus 24"" VG248QE LED - Demo",Asus,monitor,1690000.0,6590000.0,4900000.0,74.0,,,,phongvu,2026-09-21
phongvu_210404526.0,205468,210404526.0,Màn hình LCD Samsung 34'' LC34F791WQEXXV - Demo,Samsung,monitor,39780000.0,39780000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_210501422.0,220251,210501422.0,Màn hình Samsung LF27T370FWEXXV 27 inch (Full HD/ IPS/ 75Hz/ 5 ms),Samsung,monitor,4989000.0,4989000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_210501811.0,228856,210501811.0,Màn hình Gigabyte G27FC A-AP 27 inch (Full HD/ VA/ 165Hz/ 1 ms),Gigabyte,monitor,5650000.0,5650000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_210501844.0,643985,210501844.0,Màn hình Gigabyte M27Q-EK 27 inch (2K/ IPS/ 170Hz/ 0.5 ms),Gigabyte,monitor,8650000.0,8650000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_210501845.0,228889,210501845.0,Màn hình Gigabyte M32Q-EK 32 inch (2K/ IPS/ 165Hz/ 0.8 ms),Gigabyte,monitor,12250000.0,12250000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_210501847.0,228891,210501847.0,Màn hình Gigabyte FI32Q-EK 31.5 inch (2K/ IPS/ 165Hz/ 1 ms),Gigabyte,monitor,21600000.0,21600000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_210501849.0,228894,210501849.0,Màn hình Gigabyte FO48U-EK 48 inch (4K/ VA/ 120Hz/ 1 ms),Gigabyte,monitor,49900000.0,49900000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_210502059.0,229043,210502059.0,Màn hình Msi Optix MAG251RX 24.5 inch (Full HD/ IPS/ 240Hz/ 1 ms),Msi,monitor,11550000.0,11550000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_210502060.0,229044,210502060.0,Màn hình Msi Optix MAG274R 27 inch (Full HD/ IPS/ 144Hz/ 1 ms),Msi,monitor,9490000.0,9490000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_210502582.0,237957,210502582.0,Màn hình HP E24t G4 9VH85AA 23.8 inch (Full HD/ IPS/ 60Hz/ 5 ms),HP,monitor,8000000.0,8000000.0,0.0,0.0,,,,phongvu,2026-09-21
phongvu_210601396.0,258865,210601396.0,Màn hình Samsung LS32AM501NEXXV 32 inch (Full HD/ VA/ 60Hz/ 8 ms),Samsung,monitor,9228000.0,9228000.0,0.0,0.0,,,,phongvu,2026-09-21
