product_id,connection_type,keyboard_type,switch_type,layout,backlight
370677,,Cỡ 65%,Akko Stellar Rose Switch,,
370676,,Cỡ 75%,Akko Frost Pink,,
368607,,Hãng không công bố,Golden Grain,,
368143,,,,,
368090,,,,,
368089,,Cỡ 75%,Logitech GX Tactile,,
368088,,Cỡ 75%,Logitech GX Tactile,,
363944,,Chiclet,Membrane (dome mềm),,
363540,,Full size,Membrane giả cơ,,
362724,,Tenkeyless (Rút gọn),Membrane giả cơ,,
362723,,Tenkeyless (Rút gọn),Membrane giả cơ,,
362722,,Tenkeyless (Rút gọn),Membrane giả cơ,,
361508,,Cỡ 75%,Alienware Linear Mechanical Switches,,
361493,,Full size,Scissor Switch,,
361483,,Full size,Scissor Switch,,
359549,,Cỡ 75%,Storm Switch,,
362475,,Full size,Membrane giả cơ,,
362473,,Full size,Silent Switch,,
362471,,Full size,Silent Switch,,
362470,,Full size,Silent Switch,,
357605,,Tenkeyless (Rút gọn),Razer Yellow Mechanical Switches (Linear),,
357604,,Tenkeyless (Rút gọn),Razer Green Switch,,
357603,,Full size,Razer Green Switch,,
351688,,Tenkeyless (Rút gọn),Akko Mirror Switch,,
368609,,Cỡ 68%,Magnet Switch,,
362513,,Cỡ 75% - Low Profile,X-Scissors,,
359225,,Full size,Linear,,
357665,,Tenkeyless (Rút gọn),Razer™ Analog Optical Switch Gen-2,,
359228,,Cỡ 75%,Linear,,
328173,,,,,
366046,,Full size,Akko Frost Pink,,
326401,,Tenkeyless (Rút gọn),DareU DREAM switch,,
368617,,Hãng không công bố,Switch từ tính,,
339123,,Full size,DareU Cloud switch,,
368625,,,3 triệu lần nhấp (3M),,
362515,,Full size,Silent Switch,,
339139,,Full size,,,
331864,,Full size,Akko V3 Piano Pro,,
328492,,Hãng không công bố,Red Switch,,
331136,,Mini size,,,
332193,,Hãng không công bố,,,
362516,,Cỡ 75% - Low Profile,X-Scissors,,
341121,,Full size,,,
339125,,Full size,Membrane giả cơ,,
