product_id,screen_size_inch,resolution,refresh_rate_hz,panel_type,response_time_ms
370024,27.0,QHD (2560 x 1440),210,Rapid IPS,0.5
370026,27.0,Full HD (1920 x 1080),144,IPS,
362656,27.0,QHD (2560 x 1440),120,IPS,6.0
338144,27.0,UHD (3840 x 2160),60,IPS,6.0
361204,27.0,QHD (2560 x 1440),144,Fast IPS,0.5
339095,27.0,Full HD (1920 x 1080),120,IPS,1.0
337314,24.5,Full HD (1920 x 1080),200,Rapid IPS,0.5
331654,23.8,Full HD (1920 x 1080),100,IPS,5.0
364963,27.0,WQHD (2560 x 1440),144,IPS,4.0
362353,27.0,QHD (2560 x 1440),180,IPS,1.0
358204,23.8,Full HD (1920 x 1080),144,IPS,4.0
337235,27.0,Full HD (1920 x 1080),146,IPS,1.0
364380,21.45,Full HD (1920 x 1080),120,VA,1.0
363460,27.0,QHD (2560 x 1440),165,IPS,0.3
335749,23.8,Full HD (1920 x 1080),100,IPS,1.0
334003,24.5,Full HD (1920 x 1080),100,IPS,1.0
