product_id,name,brand,price_vnd,old_price_vnd,discount_percent,rating,review_count,screen_size_inch,cpu,gpu,ram_gb,storage_gb,weight_kg,url,source,crawl_date
364397,"Laptop Asus Vivobook 16 A1607QA - MB067W (X1 26 100, 16GB, 512GB, WUXGA, Win11)",Asus,20590000,22990000,-10,5.0,444,16.0,Snapdragon X - X1 26 100,Card tích hợp - Qualcomm Adreno GPU,16.0,512,1.88,https://www.thegioididong.com/laptop/asus-vivobook-16-a1607qa-x1-26-100-mb067w,thegioididong,2026-09-21
369212,"Laptop MSI Modern 15 F1MG-1264VN (Core 5 120U, 16GB, 512GB, Full HD, Win11)",MSI,20290000,22390000,-9,,,15.6,Intel Core thế hệ 12 - 120U,Card tích hợp,16.0,512,1.7,https://www.thegioididong.com/laptop/msi-modern-15-f1mg-1264vn-core-5-120u,thegioididong,2026-09-21
363487,Laptop MacBook Air 13 inch M5 16GB/512GB/8GPU 70W,MacBook,35790000,36590000,-2,5.0,557,13.6,Apple M5,Card tích hợp - 8 nhân GPU,16.0,512,1.23,https://www.thegioididong.com/laptop/macbook-air-13-inch-m5-16gb-512gb-70w,thegioididong,2026-09-21
362025,"Laptop Dell 15 DC15250 - DC5I5897W1 (i5 1334U, 16GB, 512GB, Full HD+ 120Hz, OfficeH24+365, Win11)",Dell,23390000,24490000,-4,5.0,1950,15.6,Intel Core i5 Raptor Lake - 1334U,Card tích hợp - Intel UHD Graphics,16.0,512,1.65,https://www.thegioididong.com/laptop/dell-15-dc15250-i5-1334u-dc5i5897w1,thegioididong,2026-09-21
355729,"Laptop HP 240R G10 - C3RU7AT (Core 5 120U, 16GB, 512GB, Full HD, Win11)",HP,24090000,29090000,-17,4.9,2391,14.0,Intel Core 5 Raptor Lake - 120U,Card tích hợp - Intel UHD Graphics,16.0,512,1.402,https://www.thegioididong.com/laptop/hp-240r-g10-core-5-120u-c3ru7at,thegioididong,2026-09-21
367016,"Laptop Lenovo IdeaPad Slim 3 15IPH11 - 83UR00A4VN (Ultra 5 322, 16GB, 512GB, WUXGA, Win11)",Lenovo,25090000,31990000,-21,5.0,111,15.3,Intel Core Ultra 5 Panther Lake - 322,Card tích hợp - Intel Graphics,16.0,512,1.63,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15iph11-ultra-5-322-83ur00a4vn,thegioididong,2026-09-21
360295,"Laptop Acer Gaming Predator Helios Neo 16 AI PHN16 73 757W - NH.QVQSV.001 (Ultra 7 255HX, 32GB, 1TB, RTX 5060 8GB, 2K+ 240Hz, Win11)",Acer,62390000,62990000,-1,5.0,2,16.0,Intel Core Ultra 7 Arrow Lake - 255HX,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",32.0,1024,2.7,https://www.thegioididong.com/laptop/acer-gaming-predator-helios-neo-16-ai-phn16-73-757w-nh-qvqsv-001,thegioididong,2026-09-21
363491,Laptop MacBook Pro 16 inch M5 Pro 24GB/1TB,MacBook,80490000,81990000,-2,5.0,56,16.2,Apple M5 Pro,Card tích hợp - 20 nhân GPU,24.0,1024,2.14,https://www.thegioididong.com/laptop/macbook-pro-16-inch-m5-pro-24gb-1tb,thegioididong,2026-09-21
369645,"Laptop Acer Nitro ProPanel ANV15-52-50RB - NH.QUASV.002 (Core 5 210H, 16GB, 512GB, RTX 4050 6GB, Full HD 180Hz, Win11)",Acer,34890000,37990000,-8,,,15.6,Intel Core 5 Raptor Lake - 210H,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",16.0,512,2.1,https://www.thegioididong.com/laptop/acer-nitro-propanel-anv15-52-50rb-core-5-210h-nh-quasv-002,thegioididong,2026-09-21
366087,"Laptop Acer Aspire Lite 15 AL15-21P-R91W - NX.DNRSV.002 (R5 40, 16GB, 512GB, Full HD, Win11)",Acer,22990000,,,5.0,53,15.6,AMD Ryzen 5 - 40,Card tích hợp - AMD Radeon Graphics,16.0,512,1.45,https://www.thegioididong.com/laptop/acer-aspire-lite-15-al15-21p-r91w-r5-40-nx-dnrsv-002,thegioididong,2026-09-21
368192,"Laptop SingPC M16-i595 (i5 1235U, 16GB, 512GB, WUXGA, Win11 Pro)",SingPC,18490000,19990000,-7,5.0,2,14.0,Intel Core i5 Alder Lake - 1235U,Card tích hợp - Intel UHD Graphics,16.0,512,1.1,https://www.thegioididong.com/laptop/singpc-m16-i595-i5-1235u,thegioididong,2026-09-21
362398,"Laptop HP 15 fd1486TU - D0BH3PA (Ultra 5 125H, 24GB, 512GB, Full HD, Win11)",HP,25090000,26690000,-5,5.0,650,15.6,Intel Core Ultra 5 Meteor Lake - 125H,Card tích hợp - Intel Graphics,24.0,512,1.623,https://www.thegioididong.com/laptop/hp-15-fd1486tu-ultra-5-125h-d0bh3pa,thegioididong,2026-09-21
368210,"Laptop Lenovo IdeaPad Slim 3 15IWC11 - 83RR00AAVN (Core 5 320, 16GB, 512GB, WUXGA, Win11)",Lenovo,23090000,29990000,-23,5.0,464,15.3,Intel Core 5 Wildcat Lake - 320,Card tích hợp - Intel Graphics,16.0,512,1.59,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15iwc11-core-5-320-83rr00aavn,thegioididong,2026-09-21
360690,"Laptop Dell 14 DC14250 - DC4C5386W (Core 5 120U, 16GB, 512GB, Full HD+, OfficeH24+365, Win11)",Dell,27390000,29990000,-8,5.0,1241,14.0,Intel Core 5 Raptor Lake - 120U,Card tích hợp - Intel Graphics,16.0,512,1.69,https://www.thegioididong.com/laptop/dell-14-dc14250-core-5-120u-dc4c5386w,thegioididong,2026-09-21
368656,"Laptop Acer Gaming Aspire 7 A715-59G-59RD - NH.DXUSV.001 (Core 5 210H, 16GB, 512GB, RTX 3050 4GB, Fulll HD 144Hz, Win11)",Acer,28390000,31990000,-11,5.0,24,15.6,Intel Core 5 Raptor Lake - 210H,"Card rời - NVIDIA GeForce RTX 3050, 4 GB",16.0,512,1.99,https://www.thegioididong.com/laptop/acer-gaming-aspire-7-a715-59g-59rd-core-5-210h-nh-dxusv-001,thegioididong,2026-09-21
365310,"Laptop Dell 15 DC15250 - DC15250-i5U165W11SLU-27 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeHS24+365, Win11)",Dell,23390000,24490000,-4,5.0,1261,15.6,Intel Core i5 Raptor Lake - 1334U,Card tích hợp - Intel UHD Graphics,16.0,512,1.9,https://www.thegioididong.com/laptop/dell-15-dc15250-i5-1334u-dc15250-i5u165w11slu-27,thegioididong,2026-09-21
341267,"Laptop HP OmniBook 5 AI 16 af1048TU - BZ7Q9PA (Ultra 5 225U, 16GB, 512GB, WUXGA, OfficeH24, Win11)",HP,26690000,30990000,-13,5.0,726,16.0,Intel Core Ultra 5 Arrow Lake - 225U,Card tích hợp - Intel Graphics,16.0,512,1.725,https://www.thegioididong.com/laptop/hp-omnibook-5-ai-16-af1048tu-ultra-5-225u-bz7q9pa,thegioididong,2026-09-21
368211,"Laptop Lenovo Ideapad Slim 3 15IWC11 - 83RR00CVVN (Core 5 320, 8GB, 512GB, WUXGA, Win11)",Lenovo,20290000,25990000,-21,5.0,22,15.3,Intel Core 5 Wildcat Lake - 320,Card tích hợp - Intel Graphics,8.0,512,1.59,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15iwc11-core-5-320-83rr00cvvn,thegioididong,2026-09-21
366090,"Laptop Acer Aspire Go 15 AG15-52P-52WT - NX.JWKSV.001 (Ultra 5 115U, 16GB, 512GB, Full HD, Win11)",Acer,24090000,24990000,-4,5.0,45,15.6,Intel Core Ultra 5 Meteor Lake - 115U,Card tích hợp - Intel Graphics,16.0,512,1.59,https://www.thegioididong.com/laptop/acer-aspire-go-15-ag15-52p-52wt-ultra-5-115u-nx-jwksv-001,thegioididong,2026-09-21
363903,"Laptop Lenovo Gaming LOQ 15ARP10 - 83S000CNVN (R7 170, 16GB, 512GB, RTX 3050 6GB, Full HD 144Hz, Win11)",Lenovo,30890000,39490000,-21,5.0,241,15.6,AMD Ryzen 7 - 170,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",16.0,512,1.8,https://www.thegioididong.com/laptop/lenovo-gaming-loq-15arp10-r7-170-83s000cnvn,thegioididong,2026-09-21
357990,"Laptop Dell 15 DC15250 - CPH99 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365B, Win11)",Dell,22890000,24490000,-6,5.0,1806,15.6,Intel Core i5 Raptor Lake - 1334U,Card tích hợp - Intel UHD Graphics,16.0,512,1.65,https://www.thegioididong.com/laptop/dell-15-dc15250-i5-1334u-cph99,thegioididong,2026-09-21
362620,"Laptop Asus Vivobook Go 15 E1504FA - BQ374W (R5 40, 8GB, 512GB, Full HD, Win11)",Asus,19990000,22990000,-13,5.0,1253,15.6,AMD Ryzen 5 - 40,Card tích hợp - AMD Radeon Graphics,8.0,512,1.63,https://www.thegioididong.com/laptop/asus-vivobook-go-15-e1504fa-r5-40-bq374w,thegioididong,2026-09-21
