product_id,cpu,ram_gb,storage_gb,gpu,screen_size_inch,weight_kg
360298,AMD Ryzen AI 9 - 365,16,512,"Card rời - NVIDIA GeForce RTX 5070, 8 GB",16.0,2.18
341607,Intel Core i7 Raptor Lake - 13620H,16,512,"Card rời - NVIDIA GeForce RTX 5050, 8 GB",15.6,2.1
342524,Intel Core i5 Raptor Lake - 13450HX,16,1024,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",15.6,2.38
340561,Intel Core i5 Raptor Lake - 1334U,16,512,Card tích hợp - Intel UHD Graphics,15.6,1.65
341624,AMD Ryzen 7 - 7445HS,16,512,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,2.29
366086,AMD Ryzen 3 - 5400U,8,512,Card tích hợp - AMD Radeon Graphics,15.6,1.45
339682,Snapdragon X Plus - X1P-64-100,16,512,Card tích hợp - Qualcomm Adreno GPU,14.0,1.53
337044,Intel Core Ultra 5 Meteor Lake - 125U,16,512,Card tích hợp - Intel Graphics,16.0,1.7
335554,Intel Core i5 Raptor Lake - 13450HX,16,512,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",15.6,2.38
366823,Intel Core 7 Raptor Lake - 240H,16,512,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",16.0,2.4
327506,AMD Ryzen 5 - 7430U,16,1024,Card tích hợp - AMD Radeon Graphics,14.0,1.25
366745,AMD Ryzen 5 - 7533HS,16,512,Card tích hợp - AMD Radeon 660M Graphics,14.0,1.39
342758,Intel Core 5 Raptor Lake - 210H,16,512,Card tích hợp - Intel UHD Graphics,16.0,1.7
340562,Intel Core i7 Raptor Lake - 1355U,16,512,Card tích hợp - Intel UHD Graphics,15.6,1.65
341623,AMD Ryzen 7 - 7445HS,16,512,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",15.6,2.29
341602,Intel Core Ultra 5 Meteor Lake - 125H,16,512,Card tích hợp - Intel Arc Graphics,16.0,1.6
358797,Intel Core Ultra 7 Meteor Lake - 155H,16,512,Card tích hợp - Intel Arc Graphics,15.6,1.65
325691,Intel Core i7 Raptor Lake - 1355U,16,512,Card tích hợp - Intel Iris Xe Graphics,15.6,1.59
363690,Intel Core i5 Raptor Lake - 13420H,16,512,"Card rời - NVIDIA GeForce RTX 3050, 4 GB",15.6,1.98
362026,Intel Core i7 Raptor Lake - 1355U,16,512,Card tích hợp - Intel UHD Graphics,15.6,1.65
367684,Intel Core Ultra 5 Panther Lake - 322,16,512,Card tích hợp - Intel Graphics,14.0,1.43
369911,AMD Ryzen 7 - 7730U,16,1024,Card tích hợp - AMD Radeon Graphics,15.6,1.635
363257,Intel Core Ultra 5 Arrow Lake - 225H,16,512,Card tích hợp - Intel Graphics,16.0,1.88
327707,Intel Core i7 Raptor Lake - 13620H,16,512,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,1.98
339954,Intel Core 5 Raptor Lake - 120U,16,512,Card tích hợp - Intel Graphics,14.0,1.5
341601,AMD Ryzen 7 - 7735HS,16,512,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",15.6,2.1
333421,Intel Core i7 Raptor Lake - 1355U,16,512,Card tích hợp - Intel Iris Xe Graphics eligible,16.0,1.7
334446,Intel Core i7 Raptor Lake - 13620H,24,512,Card tích hợp - Intel UHD Graphics,15.3,1.63
366992,AMD Ryzen 7 - 5825U,8,512,Card tích hợp - AMD Radeon Graphics,15.6,1.45
360692,Intel Core i7 Raptor Lake - 1355U,16,512,Card tích hợp - Intel UHD Graphics,15.6,1.65
367346,Intel Core 3 Raptor Lake - 100U,8,512,Card tích hợp - Intel Graphics,14.0,1.69
363260,AMD Ryzen 7 - 7735HS,16,512,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,2.1
341618,Intel Core 5 Raptor Lake - 120U,16,512,Card tích hợp - Intel Iris Xe Graphics,15.6,1.59
368207,Intel Core 5 Wildcat Lake - 320,16,512,Card tích hợp - Integrated Graphics,14.0,1.39
351613,Intel Core i7 Raptor Lake - 1355U,16,1024,Card tích hợp - Intel UHD Graphics,15.6,1.9
368557,Intel Core 5 Raptor Lake - 120U,16,512,Card tích hợp - Intel Graphics,14.0,1.69
369478,Intel Core™ 3 - 304,8,512,Card tích hợp - Intel Graphics,15.3,1.59
367576,Intel Core i5 Raptor Lake - 13420H,16,512,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,2.29
339211,Intel Core i7 Raptor Lake - 13620H,16,512,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",16.0,2.204
362667,Intel Core i7 Raptor Lake - 1355U,16,1024,Card tích hợp - Intel UHD Graphics,15.6,1.9
358077,Intel Core 7 Raptor Lake - 150U,24,512,Card tích hợp - Intel Graphics,14.0,1.62
368558,Intel Core 3 Raptor Lake - 100U,8,512,Card tích hợp - Intel UHD Graphics,15.6,1.9
363261,Intel Core 5 Raptor Lake - 120U,16,512,Card tích hợp - Intel UHD Graphics,14.0,1.4
341626,Intel Core i5 Raptor Lake - 13420H,16,512,"Card rời - NVIDIA GeForce RTX 5050, 8 GB",15.6,2.1
369754,Intel Core 7 Raptor Lake - 240H,16,512,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,2.1
366749,Intel Core i7 Raptor Lake - 13645HX,16,1024,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,2.38
365608,Intel Core 5 Raptor Lake - 120U,16,512,Card tích hợp - Intel Graphics,14.0,1.406
339679,Intel Core i5 Raptor Lake - 1335U,16,512,Card tích hợp - Intel Iris Xe Graphics,14.0,1.5
341270,Intel Core 5 Raptor Lake - 120U,16,512,Card tích hợp - Intel Iris Xe Graphics,15.6,1.59
