product_id,sku,screen_size_inch,resolution,refresh_rate_hz,panel_type,response_time_ms
784556,250911697,27.0,2K,60.0,IPS,1.0
784557,250911698,15.6,Full HD,60.0,IPS,4.0
788532,251001963,23.8,Full HD,144.0,IPS,1.0
788544,251001977,27.0,Full HD,240.0,IPS,0.5
788763,251002212,27.0,1920 x 1080,100.0,IPS,5.0
807368,251017479,15.6,Full HD,60.0,IPS,5.0
809129,251019106,27.0,2K,320.0,IPS,0.3
811336,251100572,23.8,1920x1080,75.0,IPS,5.0
811377,251100613,27.0,1920x1080,75.0,IPS,5.0
811380,251100616,27.0,1920x1080,75.0,IPS,5.0
811381,251100617,,2560 x 1440,200.0,IPS,1.0
811383,251100619,24.5,1920x1080,200.0,IPS,0.5
811384,251100620,,2560 x 1440,200.0,IPS,1.0
811389,251100625,21.5,1920 x 1080,100.0,IPS,1.0
811392,251100628,,2560 x 1440,200.0,IPS,1.0
811513,251100749,24.0,1920 x 1080,75.0,IPS,8.0
811514,251100750,24.0,1920 x 1080,75.0,IPS,8.0
811515,251100751,24.0,1920 x 1080,75.0,IPS,8.0
811521,251100757,27.0,2560x1440,100.0,IPS,
811524,251100760,27.0,1920 x 1080,165.0,IPS,1.0
811533,251100769,23.8,1920 x 1080,100.0,IPS,1.0
811539,251100775,23.8,1920 x 1080,100.0,IPS,1.0
812845,251102026,27.0,Full HD,144.0,IPS,1.0
812865,251102046,23.8,Full HD,200.0,IPS,5.0
813974,251103268,26.5,2K,280.0,OLED,0.03
816215,251105482,23.8,Full HD,146.0,IPS,1.0
818350,251107193,23.8,1920 x 1080,144.0,IPS,1.0
818374,251107217,27.0,Full HD,144.0,IPS,1.0
818384,251107224,27.0,2K,120.0,IPS,5.0
820282,251109191,27.0,Full HD,240.0,VA,0.5
822739,251111645,27.0,2K,255.0,IPS,0.3
822746,251111651,27.0,2K,180.0,VA,1.0
822752,251111657,32.0,,240.0,OLED,0.03
822758,251111666,32.0,,240.0,OLED,0.03
824640,251113481,27.0,,160.0,IPS,0.5
824645,251113488,27.0,Full HD,144.0,IPS,1.0
824652,251113495,27.0,QHD,75.0,IPS,1.0
828537,251202908,24.5,Full HD,240.0,IPS,1.0
828538,251202909,27.0,2K,280.0,OLED,0.03
828543,251202917,24.5,Full HD,240.0,IPS,1.0
828552,251202924,27.0,Full HD,240.0,VA,1.0
828558,251202930,34.0,2K,200.0,VA,1.0
828564,251202936,27.0,,160.0,IPS,1.0
829639,251203801,27.0,2560x1440,100.0,IPS,
829640,251203802,27.0,,200.0,IPS,1.0
829856,251204018,23.8,1920x1080,60.0,VA,5.0
829858,251204020,21.5,1920 x 1080,100.0,IPS,1.0
829860,251204022,23.8,1920 x 1080,100.0,IPS,4.0
834498,251208390,27.0,2K,120.0,IPS,6.0
836944,251210729,24.0,Full HD,144.0,IPS,5.0
837866,251211477,29.0,,100.0,IPS,5.0
837876,251211484,27.0,Full HD,240.0,IPS,1.0
837885,251211492,27.0,Full HD,200.0,IPS,1.0
837892,251211499,24.0,Full HD,260.0,IPS,0.3
837899,251211506,27.0,Full HD,260.0,IPS,0.3
837901,251211507,27.0,Full HD,260.0,VA,0.3
838778,251212297,23.8,Full HD,120.0,IPS,1.0
838780,251212298,27.0,2K,144.0,IPS,0.5
838779,251212299,32.0,,240.0,OLED,0.03
838782,251212300,27.0,2K,260.0,IPS,0.3
838781,251212301,27.0,Full HD,120.0,IPS,0.5
838783,251212302,31.5,,240.0,OLED,0.03
838784,251212303,39.0,QHD,240.0,OLED,0.03
840926,260102086,23.8,Full HD,260.0,IPS,1.0
840932,260102093,27.0,2K,180.0,IPS,1.0
840937,260102099,23.8,Full HD,144.0,IPS,1.0
842943,260104165,34.0,2K,180.0,VA,1.0
844003,260105193,24.0,Full HD,120.0,IPS,5.0
844017,260105207,27.0,1920X1080,120.0,IPS,
844070,260105257,24.0,Full HD,120.0,IPS,5.0
844072,260105262,24.0,Full HD,120.0,IPS,5.0
844083,260105273,34.0,3440 x 1440,180.0,VA,1.0
844181,260105371,21.5,1920 x 1080,75.0,IPS,4.0
844193,260105383,27.0,2560x1440,100.0,IPS,
844195,260105385,23.8,1920 x 1080,100.0,IPS,4.0
844387,260105577,,3840 x 2160,60.0,IPS,5.0
844388,260105578,27.0,,200.0,IPS,1.0
844481,260105672,27.0,2K,200.0,IPS,1.0
